DATA E HORA UTC;CHUVA (mm);NIVEL (m);CHUVA CORRIGIDA;NIVEL CORRIGIDO;EXTRAVASAMENTO
01/01/2012 00:00;0,5;0,30;0,5;0,48;NÃO
01/01/2012 00:15;0,5;0,30;0,5;0,48;NÃO
01/01/2012 00:30;0;0,30;0;0,48;NÃO
01/01/2012 00:45;0,25;0,31;0,25;0,49;NÃO
01/01/2012 01:00;0;0,30;0;0,48;NÃO
01/01/2012 01:15;0;0,30;0;0,48;NÃO
01/01/2012 01:30;0,25;0,30;0,25;0,48;NÃO
01/01/2012 01:45;0;0,30;0;0,48;NÃO
01/01/2012 02:00;0;0,30;0;0,48;NÃO
01/01/2012 02:15;0,25;0,30;0,25;0,48;NÃO
01/01/2012 02:30;0,25;0,30;0,25;0,48;NÃO
01/01/2012 02:45;0,5;0,30;0,5;0,48;NÃO
01/01/2012 03:00;0;0,30;0;0,48;NÃO
01/01/2012 03:15;0,25;0,30;0,25;0,48;NÃO
01/01/2012 03:30;0;0,30;0;0,48;NÃO
01/01/2012 03:45;0;0,30;0;0,48;NÃO
01/01/2012 04:00;0,75;0,30;0,75;0,48;NÃO
01/01/2012 04:15;0;0,30;0;0,48;NÃO
01/01/2012 04:30;0,25;0,30;0,25;0,48;NÃO
01/01/2012 04:45;0,25;0,30;0,25;0,48;NÃO
01/01/2012 05:00;0,25;0,30;0,25;0,48;NÃO
01/01/2012 05:15;0;0,30;0;0,48;NÃO
01/01/2012 05:30;0,5;0,30;0,5;0,48;NÃO
01/01/2012 05:45;0,25;0,30;0,25;0,48;NÃO
01/01/2012 06:00;0,25;0,30;0,25;0,48;NÃO
01/01/2012 06:15;0,5;0,30;0,5;0,48;NÃO
01/01/2012 06:30;0;0,30;0;0,48;NÃO
01/01/2012 06:45;0,25;0,30;0,25;0,48;NÃO
01/01/2012 07:00;0;0,30;0;0,48;NÃO
01/01/2012 07:15;0,25;0,30;0,25;0,48;NÃO
01/01/2012 07:30;0,25;0,30;0,25;0,48;NÃO
01/01/2012 07:45;1;0,30;1;0,48;NÃO
01/01/2012 08:00;0,5;0,30;0,5;0,48;NÃO
01/01/2012 08:15;0,5;0,30;0,5;0,48;NÃO
01/01/2012 08:30;0,5;0,30;0,5;0,48;NÃO
01/01/2012 08:45;0,5;0,30;0,5;0,48;NÃO
01/01/2012 09:00;0,75;0,30;0,75;0,48;NÃO
01/01/2012 09:15;1,25;0,31;1,25;0,49;NÃO
01/01/2012 09:30;0,75;0,30;0,75;0,48;NÃO
01/01/2012 09:45;2,25;0,31;2,25;0,49;NÃO
01/01/2012 10:00;0,5;0,31;0,5;0,49;NÃO
01/01/2012 10:15;0,5;0,31;0,5;0,49;NÃO
01/01/2012 10:30;1;0,31;1;0,49;NÃO
01/01/2012 10:45;0,25;0,31;0,25;0,49;NÃO
01/01/2012 11:00;0,5;0,31;0,5;0,49;NÃO
01/01/2012 11:15;0,75;0,31;0,75;0,49;NÃO
01/01/2012 11:30;0,5;0,31;0,5;0,49;NÃO
01/01/2012 11:45;0,5;0,30;0,5;0,48;NÃO
